Hostname,ManagementIp,HwSku,Type,Protocol,Os
upscale-sys-spine1,10.9.100.49/16,Mellanox-SN5600-O64S1,DevSonic,,sonic
upscale-sys-leaf1,10.9.100.31/16,Mellanox-SN5600-O64S1,DevSonic,,sonic
snappi-sonic,10.9.108.101/16,SNAPPI-tester,DevIxiaChassis_Primary,,ixia
